Transaction Date,Description,Amount,Payee,Memo
01/15/2026,Morning Coffee,-$4.95,Starbucks,Latte with oat milk
01/15/2026,Lunch Meeting,-$45.50,Chipotle,Team lunch
01/16/2026,Gas Purchase,-$52.30,Shell Gas Station,Full tank
01/17/2026,Grocery Shopping,-$156.78,Trader Joe's,Weekly groceries
01/18/2026,Netflix Subscription,-$15.99,Netflix Inc,Monthly streaming
01/18/2026,Gym Membership,-$59.99,24 Hour Fitness,Monthly dues
01/19/2026,Electric Bill,-$125.45,PG&E,January utility
01/20/2026,Phone Bill,-$85.00,Verizon Wireless,Monthly service
01/21/2026,Restaurant Dinner,-$92.30,The Cheesecake Factory,Date night
01/22/2026,Online Shopping,-$234.99,Amazon.com,Kitchen appliances
01/23/2026,Coffee Break,-$5.75,Peet's Coffee,Afternoon pick-me-up
01/24/2026,Car Wash,-$25.00,Auto Spa,Full detail
01/25/2026,Movie Tickets,-$38.00,AMC Theaters,Two tickets + snacks
01/26/2026,Pharmacy,-$28.50,Walgreens,Prescriptions
01/27/2026,Pet Supplies,-$67.89,PetSmart,Dog food and toys
01/28/2026,Fast Food,-$12.45,McDonald's,Quick dinner
01/29/2026,Books,-$45.99,Barnes & Noble,Two paperbacks
01/30/2026,Water Bill,-$42.00,City Water Dept,Monthly utility
01/31/2026,Internet Service,-$79.99,Comcast,Monthly internet
